Phone Number,Spam Classification,Caller Type,Number of Reports,Call Frequency,Location,Time of Call,Duration (seconds),User Review,Confidence Score (%),Last Report Date,Reported by Verified Users,Conversation Text
6287426037,Not Spam,None,0,0,Bangalore,Night,187,Genuine call,26,2024-05-20,False,"Hi, this is regarding your job application."
7320287808,Not Spam,None,0,0,Hyderabad,Night,174,Helpful service,29,2024-09-14,True,This is about your recent purchase.
7967241515,Not Spam,Personal,0,1,Pune,Morning,16,Important call,40,2024-09-21,True,Your requested callback about the service issue.
6811949852,Not Spam,Personal,0,0,Unknown,Night,169,Expected call,38,2024-10-20,True,This is about your recent purchase.
8646861233,Not Spam,Service,0,0,Hyderabad,Evening,411,Important call,34,2024-03-01,False,"Hi, this is regarding your job application."
6729064353,Not Spam,Business,0,0,Unknown,Evening,426,Normal call,18,2024-04-05,False,About your recent service request.
9054925826,Spam,Telemarketer,10,7,Pune,Afternoon,123,Unwanted sales,62,2024-05-24,True,Special discount available only today!
9073770262,Not Spam,None,0,0,Ahmedabad,Evening,86,Genuine call,34,2024-11-20,True,"Hi, this is regarding your job application."
7015835268,Not Spam,Personal,0,1,Delhi,Evening,389,Business call,50,2025-01-12,False,"Hello, calling to confirm your appointment."
9073297195,Not Spam,None,0,0,Jaipur,Night,290,Normal call,44,2024-12-06,False,About your recent service request.
8261128052,Not Spam,Personal,0,0,Unknown,Night,387,Normal call,43,2024-07-01,False,This is your delivery service.
6648006912,Not Spam,Service,0,0,Unknown,Morning,360,Normal call,34,2024-03-24,False,This is your bank calling to verify a transaction.
9148027205,Spam,Telemarketer,3,4,Bangalore,Morning,273,Unwanted sales,81,2024-07-23,False,Special discount available only today!
9429065934,Spam,Telemarketer,3,7,Jaipur,Night,400,Telemarketing spam,73,2024-10-20,False,Are you interested in saving money on your utility bills?
8747583117,Not Spam,Business,0,0,Pune,Night,303,OK,10,2024-11-16,True,Calling regarding your recent inquiry.
7698202637,Not Spam,Personal,0,2,Unknown,Night,69,Important call,31,2024-06-10,False,Your requested callback about the service issue.
9516978410,Not Spam,Business,0,0,Pune,Evening,585,Normal call,14,2024-11-21,False,This is about your recent purchase.
9404646201,Not Spam,Personal,0,1,Pune,Evening,379,Expected call,29,2024-11-12,False,Calling from your doctor's office.
8910602845,Spam,Unknown,2,1,Unknown,Evening,35,Possible spam,87,2024-02-09,False,Special discount available only today!
6048073717,Not Spam,Service,0,0,Bangalore,Morning,404,Expected call,35,2024-07-17,True,Important information about your service.
9301563010,Not Spam,Personal,0,0,Delhi,Evening,389,Helpful service,35,2024-05-10,False,Calling regarding your recent inquiry.
6165622613,Spam,Survey,8,5,Pune,Night,265,Suspicious call,82,2024-02-16,False,We're gathering customer feedback.
9008710777,Not Spam,Service,0,0,Ahmedabad,Evening,445,Important call,20,2024-10-21,False,"Hello, calling to confirm your appointment."
6314241869,Spam,Survey,10,2,Unknown,Evening,489,Scam alert,73,2024-06-03,False,Can you spare 5 minutes for a survey?
8834598083,Not Spam,Personal,0,0,Jaipur,Evening,557,Normal call,27,2024-07-20,True,Calling regarding your recent inquiry.
9327661383,Not Spam,Business,0,0,Pune,Afternoon,391,Genuine call,27,2024-08-25,True,"Hi, this is regarding your job application."
6624010620,Not Spam,Personal,0,0,Pune,Afternoon,490,Helpful service,46,2024-08-13,False,Following up on your inquiry.
7446682475,Not Spam,Personal,0,0,Mumbai,Afternoon,495,OK,24,2024-05-29,True,Calling regarding your recent inquiry.
6067666377,Not Spam,Personal,0,0,Mumbai,Morning,296,Business call,32,2024-06-02,False,Calling from your doctor's office.
6368661880,Not Spam,Business,0,0,Bangalore,Afternoon,586,Business call,27,2024-09-02,True,"Hello, calling to confirm your appointment."
6679522818,Not Spam,Business,0,1,Ahmedabad,Evening,271,Expected call,39,2024-11-07,False,Calling from your doctor's office.
8970224762,Spam,Fraudulent Service,1,2,Mumbai,Night,149,Possible spam,64,2024-11-02,True,Urgent action required on your account.
9305253857,Spam,Scammer,0,2,Bangalore,Night,114,Suspicious call,65,2024-08-19,False,This is regarding your car's extended warranty.
6087084043,Not Spam,Business,0,0,Unknown,Morning,735,Genuine call,39,2024-10-19,True,This is your delivery service.
8724194539,Not Spam,Personal,0,0,Delhi,Evening,33,Business call,14,2024-12-27,True,This is about your recent purchase.
7294950018,Spam,Survey,1,0,Hyderabad,Night,501,Possible spam,64,2024-09-02,False,Calling regarding your recent inquiry.
7458785313,Not Spam,None,0,1,Bangalore,Morning,94,Important call,45,2024-03-13,False,This is your delivery service.
9343088965,Not Spam,None,0,2,Mumbai,Night,561,Business call,26,2024-07-31,False,"Hello, calling to confirm your appointment."
8665098885,Not Spam,Personal,0,0,Ahmedabad,Morning,413,Genuine call,22,2024-07-09,False,Calling from your doctor's office.
8048011372,Not Spam,None,0,0,Jaipur,Evening,548,Genuine call,25,2024-08-14,True,This is about your recent purchase.
7865947868,Not Spam,Service,0,0,Pune,Afternoon,850,OK,39,2024-11-28,False,Calling from your doctor's office.
8520763653,Not Spam,Personal,0,0,Bangalore,Evening,513,Expected call,42,2024-05-29,False,"Hello, this is about your subscription."
6664198616,Spam,Fraudulent Service,7,3,Bangalore,Morning,723,Suspicious call,49,2024-12-16,False,Your computer might be infected.
8766899918,Not Spam,Business,0,1,Jaipur,Morning,355,Genuine call,17,2024-08-04,True,Calling from your doctor's office.
7519868038,Not Spam,Service,0,0,Kolkata,Afternoon,87,Normal call,19,2025-01-21,False,This is about your recent purchase.
8201932428,Not Spam,Business,0,0,Unknown,Afternoon,1186,Normal call,44,2024-02-19,False,"Hello, calling to confirm your appointment."
7254191346,Not Spam,Service,0,0,Pune,Afternoon,132,Expected call,32,2024-03-18,True,This is a follow-up call.
6345137076,Not Spam,None,0,0,Ahmedabad,Night,201,OK,43,2024-10-08,False,"Hello, calling to confirm your appointment."
8559938365,Not Spam,None,0,0,Mumbai,Evening,418,Helpful service,45,2024-02-18,True,This is about your recent purchase.
8080039476,Not Spam,None,0,0,Kolkata,Afternoon,31,Important call,12,2024-02-06,False,Your requested callback about the service issue.
6500183665,Not Spam,Business,0,0,Ahmedabad,Night,410,Genuine call,19,2024-07-30,False,Calling from your doctor's office.
6959840765,Not Spam,None,0,0,Hyderabad,Afternoon,772,Important call,24,2024-08-07,False,About your recent service request.
6782958012,Not Spam,Business,0,0,Chennai,Evening,257,OK,49,2024-11-21,False,"Hello, calling to confirm your appointment."
7619567860,Not Spam,Business,0,0,Pune,Night,115,OK,37,2024-08-21,False,This is your bank calling to verify a transaction.
9301829373,Spam,Fraudulent Service,6,0,Mumbai,Afternoon,473,Unwanted sales,73,2024-02-13,False,We detected suspicious activity.
9309000889,Not Spam,Business,0,1,Hyderabad,Evening,574,Helpful service,20,2024-09-23,False,Calling from your doctor's office.
6133558059,Not Spam,Personal,0,1,Unknown,Evening,167,Business call,34,2024-09-25,False,This is about your recent purchase.
9210753710,Not Spam,Business,0,0,Ahmedabad,Evening,548,Genuine call,20,2024-10-25,False,This is your delivery service.
6436157032,Not Spam,None,0,1,Unknown,Morning,34,Important call,20,2024-09-14,False,Your requested callback about the service issue.
8622097791,Spam,Survey,3,3,Unknown,Evening,277,Unwanted sales,84,2025-01-17,True,Would you like to participate in a quick survey?
6520844738,Not Spam,Personal,0,1,Unknown,Afternoon,51,Expected call,27,2024-05-20,False,"Hi, this is regarding your job application."
6905091516,Not Spam,Personal,0,1,Unknown,Night,466,Expected call,41,2024-08-19,True,This is about your recent purchase.
8010509925,Not Spam,Business,0,0,Bangalore,Afternoon,383,OK,16,2024-08-05,False,This is a follow-up call.
6890104132,Not Spam,Service,0,0,Unknown,Evening,291,Normal call,31,2024-07-30,False,Following up on your inquiry.
8958984223,Spam,Unknown,7,5,Chennai,Morning,866,Scam alert,75,2024-05-02,True,Special discount available only today!
6238286916,Not Spam,Service,0,0,Ahmedabad,Evening,127,OK,44,2024-08-21,False,Calling from your doctor's office.
9447054786,Not Spam,Personal,0,1,Unknown,Afternoon,522,Important call,30,2024-06-10,True,Your requested callback about the service issue.
8975480447,Not Spam,None,0,0,Unknown,Evening,295,Business call,31,2024-02-23,False,Following up on your inquiry.
8641458895,Not Spam,Service,0,0,Ahmedabad,Evening,107,Helpful service,36,2024-03-06,False,About your recent service request.
6200076014,Not Spam,None,0,0,Unknown,Evening,590,Important call,32,2024-09-07,False,Your requested callback about the service issue.
7727353325,Not Spam,Service,0,0,Pune,Evening,172,Helpful service,24,2025-01-20,False,"Hi, this is regarding your job application."
8173680561,Not Spam,Service,0,0,Jaipur,Evening,48,Helpful service,37,2024-06-10,False,"Hello, calling to confirm your appointment."
7310492120,Not Spam,None,0,0,Mumbai,Morning,129,Genuine call,28,2024-02-25,False,Following up on your inquiry.
7169988446,Spam,Unknown,6,3,Mumbai,Afternoon,79,Annoying call,87,2024-06-11,False,Are you interested in saving money on your utility bills?
9387900232,Spam,Telemarketer,5,0,Mumbai,Night,526,Annoying call,64,2024-08-21,False,"Hello, we're offering a great deal on credit cards with zero annual fees!"
7904269314,Not Spam,Service,0,1,Ahmedabad,Evening,60,Business call,19,2024-04-27,False,Important information about your service.
9412515062,Not Spam,Personal,0,1,Pune,Night,520,OK,47,2024-05-07,False,This is your bank calling to verify a transaction.
8140999523,Spam,Telemarketer,3,0,Unknown,Evening,234,Possible spam,56,2024-01-29,False,"Hello, we're offering a great deal on credit cards with zero annual fees!"
9400762340,Spam,Telemarketer,0,0,Unknown,Afternoon,279,Not sure,62,2024-07-08,False,Are you interested in saving money on your utility bills?
9635021280,Not Spam,None,0,0,Unknown,Evening,301,Helpful service,47,2024-06-14,True,"Hello, calling to confirm your appointment."
7471493194,Spam,Scammer,3,3,Ahmedabad,Morning,520,Possible spam,62,2024-11-01,False,Important notice about your account security.
9532270983,Not Spam,Business,0,1,Chennai,Afternoon,401,OK,17,2024-05-31,True,This is your bank calling to verify a transaction.
6692660073,Not Spam,None,0,0,Mumbai,Afternoon,1013,Business call,41,2024-06-15,False,Important information about your service.
6967414239,Not Spam,Service,0,0,Unknown,Evening,480,Expected call,49,2024-03-16,False,This is your bank calling to verify a transaction.
7073571912,Not Spam,Personal,0,0,Delhi,Night,402,Important call,30,2024-08-30,False,This is about your recent purchase.
9237348763,Not Spam,Personal,0,0,Kolkata,Morning,436,Helpful service,25,2024-08-18,False,Following up on your inquiry.
7670074944,Spam,Survey,1,3,Unknown,Evening,521,Suspicious call,52,2024-12-10,True,This is a follow-up call.
6154987769,Not Spam,Service,0,0,Ahmedabad,Morning,118,Normal call,40,2024-05-06,False,Calling from your doctor's office.
8671127529,Not Spam,None,0,1,Bangalore,Evening,147,Business call,39,2024-07-27,True,We're calling about your account.
9710721341,Spam,Telemarketer,5,6,Pune,Night,542,Suspicious call,84,2024-10-22,False,"Hello, we're offering a great deal on credit cards with zero annual fees!"
8591289808,Not Spam,None,0,0,Jaipur,Morning,395,Helpful service,19,2024-06-29,False,About your recent service request.
9011598576,Not Spam,Personal,0,0,Chennai,Night,504,Normal call,25,2024-11-09,False,About your recent service request.
7216702559,Not Spam,None,0,0,Unknown,Evening,431,Normal call,8,2024-07-22,False,Your requested callback about the service issue.
6996609894,Not Spam,Service,0,0,Delhi,Morning,430,Helpful service,33,2024-10-10,False,"Hello, calling to confirm your appointment."
6342887061,Not Spam,Personal,0,0,Kolkata,Afternoon,326,Genuine call,20,2024-06-27,False,Calling from your doctor's office.
6111364940,Spam,Fraudulent Service,18,2,Kolkata,Morning,516,Scam alert,50,2025-01-17,False,Urgent action required on your account.
6291259409,Spam,Survey,8,1,Bangalore,Morning,584,Telemarketing spam,68,2024-10-30,False,We're gathering customer feedback.
6272547363,Not Spam,Personal,0,0,Bangalore,Afternoon,189,Helpful service,28,2024-08-11,False,This is about your recent purchase.
8335169638,Not Spam,Business,0,0,Unknown,Morning,420,Important call,37,2024-03-07,True,Following up on your inquiry.
9147752053,Not Spam,Business,0,0,Mumbai,Morning,296,OK,24,2024-06-23,True,Calling from your doctor's office.
9263176701,Spam,Telemarketer,9,7,Chennai,Morning,521,Suspicious call,53,2024-02-15,True,We have an exclusive offer for you today.
9762597779,Not Spam,Personal,0,0,Pune,Evening,233,OK,19,2024-10-17,False,"Hi, this is regarding your job application."
9301027960,Spam,Survey,4,0,Mumbai,Morning,156,Suspicious call,61,2024-05-26,False,This is a follow-up call.
9238531045,Spam,Unknown,16,0,Unknown,Afternoon,127,Not sure,75,2024-06-10,False,"Hello, we're offering a great deal on credit cards with zero annual fees!"
8086289189,Not Spam,Personal,0,0,Jaipur,Night,153,Helpful service,10,2024-02-19,False,This is your delivery service.
8095143297,Not Spam,Service,0,0,Kolkata,Afternoon,305,Genuine call,12,2024-10-24,True,"Hi, this is regarding your job application."
6423480658,Not Spam,None,0,0,Chennai,Night,219,Important call,23,2024-07-22,False,"Hi, this is regarding your job application."
9851491320,Spam,Fraudulent Service,2,2,Ahmedabad,Morning,475,Unwanted sales,78,2024-07-03,True,Your computer might be infected.
7311859784,Spam,Scammer,8,0,Delhi,Evening,246,Not sure,76,2024-12-09,True,This is regarding your car's extended warranty.
9926605459,Not Spam,None,0,0,Ahmedabad,Evening,263,Normal call,24,2024-11-12,True,Following up on your inquiry.
6917954122,Spam,Unknown,6,1,Kolkata,Afternoon,104,Not sure,71,2024-06-05,False,"Hello, we're offering a great deal on credit cards with zero annual fees!"
8463319512,Not Spam,Business,0,0,Mumbai,Evening,50,Normal call,46,2024-12-14,True,Your requested callback about the service issue.
8787132960,Not Spam,None,0,1,Kolkata,Morning,513,Helpful service,40,2024-11-06,False,Calling from your doctor's office.
9025883809,Not Spam,Business,0,0,Hyderabad,Morning,245,Helpful service,25,2024-05-16,False,Your requested callback about the service issue.
8667890746,Spam,Survey,4,4,Unknown,Morning,474,Telemarketing spam,66,2024-09-18,False,Your opinion matters to us.
9934499067,Not Spam,Service,0,1,Kolkata,Afternoon,232,Important call,23,2025-01-10,False,Calling from your doctor's office.
7766368020,Spam,Scammer,14,0,Chennai,Afternoon,803,Telemarketing spam,73,2024-05-24,False,You've won a prize in our lucky draw!
6554458467,Not Spam,None,0,0,Kolkata,Evening,1048,Normal call,19,2024-04-25,False,This is about your recent purchase.
9896126064,Not Spam,None,0,0,Delhi,Morning,49,Expected call,45,2024-02-02,False,Following up on your inquiry.
8161654678,Spam,Telemarketer,1,4,Bangalore,Morning,512,Annoying call,64,2024-06-16,True,"Hello, we're offering a great deal on credit cards with zero annual fees!"
8418057399,Not Spam,Personal,0,1,Jaipur,Evening,94,Important call,16,2024-02-21,False,This is your delivery service.
8394957271,Not Spam,Personal,0,0,Unknown,Night,265,OK,48,2024-02-19,False,Following up on your inquiry.
7091770978,Spam,Telemarketer,1,0,Jaipur,Morning,359,Unwanted sales,71,2024-08-26,False,"Hello, we're offering a great deal on credit cards with zero annual fees!"
8345889776,Spam,Telemarketer,0,6,Pune,Afternoon,78,Possible spam,74,2025-01-13,True,Special discount available only today!
6966360966,Spam,Scammer,9,3,Jaipur,Morning,98,Suspicious call,76,2024-07-21,False,Your bank account needs verification.
8040813003,Not Spam,Business,0,1,Ahmedabad,Morning,573,Expected call,16,2024-03-08,True,This is your bank calling to verify a transaction.
7436020693,Not Spam,Service,0,0,Unknown,Morning,578,Business call,31,2024-02-11,False,"Hello, calling to confirm your appointment."
7816985765,Not Spam,None,0,0,Kolkata,Evening,109,Business call,34,2024-12-29,False,Calling from your doctor's office.
8717698984,Not Spam,Personal,0,0,Kolkata,Morning,258,Business call,39,2024-09-01,True,Calling from your doctor's office.
7517228441,Not Spam,None,0,0,Delhi,Afternoon,148,Important call,38,2025-01-21,False,Your requested callback about the service issue.
7937092958,Not Spam,Business,0,0,Kolkata,Night,302,Expected call,23,2024-03-29,False,Following up on your inquiry.
9359579395,Spam,Telemarketer,1,1,Jaipur,Afternoon,118,Not sure,81,2024-05-15,False,Are you interested in saving money on your utility bills?
7329956385,Not Spam,Personal,0,0,Kolkata,Night,218,Normal call,22,2024-06-12,False,"Hi, this is regarding your job application."
7545384447,Not Spam,None,0,0,Chennai,Afternoon,355,Important call,34,2024-02-20,True,Calling from your doctor's office.
6128590037,Not Spam,Service,0,0,Hyderabad,Morning,400,Expected call,27,2024-09-14,True,About your recent service request.
9226346569,Not Spam,None,0,0,Unknown,Evening,1074,Important call,41,2024-10-15,True,Calling from your doctor's office.
9370256246,Not Spam,Personal,0,0,Delhi,Morning,1171,Expected call,19,2024-11-06,False,Following up on your inquiry.
9317231894,Not Spam,Service,0,2,Ahmedabad,Morning,377,Important call,6,2024-02-04,False,Your requested callback about the service issue.
9350626129,Spam,Scammer,1,8,Jaipur,Evening,109,Annoying call,75,2025-01-14,True,You've won a prize in our lucky draw!
6498540224,Not Spam,None,0,0,Mumbai,Afternoon,257,Business call,15,2024-07-05,True,Following up on your inquiry.
8215844320,Not Spam,Personal,0,0,Delhi,Night,357,Genuine call,16,2024-09-06,False,About your recent service request.
9607868839,Not Spam,Service,0,0,Unknown,Evening,382,Business call,28,2024-06-13,True,"Hello, calling to confirm your appointment."
6747244382,Not Spam,None,0,0,Bangalore,Morning,345,Helpful service,27,2024-05-18,False,This is your delivery service.
7850191310,Not Spam,None,0,0,Hyderabad,Morning,596,Normal call,29,2024-12-17,False,This is your delivery service.
9178406719,Not Spam,Service,0,0,Mumbai,Afternoon,227,Genuine call,35,2024-05-09,False,Your requested callback about the service issue.
7319833392,Not Spam,Business,0,0,Delhi,Night,306,Genuine call,33,2024-04-13,True,"Hello, calling to confirm your appointment."
6499894426,Not Spam,Service,0,0,Delhi,Morning,385,Helpful service,36,2024-09-28,True,Your requested callback about the service issue.
8680181822,Not Spam,None,0,0,Delhi,Morning,429,Normal call,47,2024-07-27,True,Your requested callback about the service issue.
9507733789,Not Spam,None,0,0,Bangalore,Evening,132,Normal call,19,2024-05-28,False,This is about your recent purchase.
8954655796,Spam,Fraudulent Service,4,1,Jaipur,Evening,565,Unwanted sales,80,2024-10-22,False,Your social security number needs verification.
9906105551,Spam,Telemarketer,0,1,Jaipur,Evening,451,Telemarketing spam,75,2024-09-18,True,"Hello, we're offering a great deal on credit cards with zero annual fees!"
9386847833,Not Spam,Personal,0,0,Kolkata,Evening,369,OK,25,2024-10-04,False,Calling from your doctor's office.
8003294043,Not Spam,Personal,0,0,Unknown,Afternoon,759,Important call,27,2024-07-20,True,Important information about your service.
6400641244,Spam,Survey,6,0,Pune,Morning,366,Not sure,85,2024-05-13,False,Can you spare 5 minutes for a survey?
6016045297,Not Spam,Service,0,1,Delhi,Afternoon,71,Genuine call,35,2024-11-07,True,Calling from your doctor's office.
9552993902,Not Spam,Service,0,0,Unknown,Morning,1135,Normal call,19,2024-04-30,False,"Hello, calling to confirm your appointment."
7042103162,Spam,Fraudulent Service,2,1,Pune,Morning,213,Scam alert,78,2025-01-12,False,We detected suspicious activity.
7521737053,Not Spam,Personal,0,3,Delhi,Night,195,Normal call,24,2024-10-03,True,Your requested callback about the service issue.
8873072952,Not Spam,Personal,0,2,Kolkata,Morning,241,OK,23,2025-01-12,False,About your recent service request.
7809574291,Not Spam,Personal,0,0,Mumbai,Afternoon,557,Business call,29,2024-09-23,True,Following up on your inquiry.
9644745658,Not Spam,None,0,0,Jaipur,Evening,600,Genuine call,24,2024-05-07,False,This is your bank calling to verify a transaction.
8204186135,Spam,Fraudulent Service,11,1,Mumbai,Afternoon,127,Scam alert,73,2024-10-16,False,We detected suspicious activity.
8811856746,Not Spam,Service,0,0,Hyderabad,Night,153,Genuine call,32,2024-07-12,False,"Hello, this is about your subscription."
8964243354,Spam,Fraudulent Service,5,1,Unknown,Night,538,Suspicious call,72,2024-04-19,True,Your computer might be infected.
8034489640,Not Spam,Personal,0,0,Chennai,Morning,18,OK,33,2025-01-04,True,This is your delivery service.
6843968728,Spam,Telemarketer,4,1,Unknown,Afternoon,163,Possible spam,61,2024-05-07,True,Are you interested in saving money on your utility bills?
8436859491,Not Spam,None,0,0,Pune,Morning,541,Normal call,30,2024-12-16,True,Important information about your service.
6070961950,Spam,Telemarketer,3,2,Mumbai,Night,310,Scam alert,68,2024-09-03,False,Are you interested in saving money on your utility bills?
6518858653,Not Spam,Personal,0,0,Delhi,Morning,606,Important call,33,2024-06-27,False,This is your bank calling to verify a transaction.
8904501241,Not Spam,Business,0,0,Mumbai,Night,355,Genuine call,45,2024-10-18,False,"Hello, calling to confirm your appointment."
9458765187,Not Spam,Personal,0,0,Delhi,Evening,1127,Normal call,11,2024-03-31,False,About your recent service request.
7844569285,Not Spam,Business,0,0,Bangalore,Morning,1053,Helpful service,30,2024-02-25,False,About your recent service request.
6746099389,Not Spam,Business,0,1,Unknown,Morning,402,OK,27,2024-01-26,False,Calling from your doctor's office.
8916493047,Spam,Survey,1,1,Unknown,Afternoon,267,Not sure,71,2024-02-29,True,Can you spare 5 minutes for a survey?
9801867652,Not Spam,Service,0,0,Jaipur,Evening,117,Expected call,33,2024-07-30,False,This is your bank calling to verify a transaction.
9861782646,Not Spam,None,0,0,Chennai,Afternoon,291,Business call,43,2024-03-14,False,Following up on your inquiry.
9174192862,Not Spam,None,0,0,Bangalore,Night,69,Expected call,22,2024-04-19,False,Calling regarding your recent inquiry.
8890400376,Not Spam,Service,0,1,Bangalore,Afternoon,564,Helpful service,22,2024-02-05,False,This is a follow-up call.
8832311081,Not Spam,Service,0,0,Kolkata,Evening,274,Genuine call,25,2024-08-24,False,Your requested callback about the service issue.
8467366439,Not Spam,Personal,0,0,Chennai,Evening,658,Genuine call,37,2024-09-01,False,"Hi, this is regarding your job application."
8581304490,Not Spam,Business,0,1,Delhi,Night,236,OK,21,2024-06-20,True,Calling from your doctor's office.
6125856464,Spam,Telemarketer,4,0,Kolkata,Night,472,Scam alert,60,2024-08-18,False,"Hello, we're offering a great deal on credit cards with zero annual fees!"
8972768358,Not Spam,Business,0,0,Jaipur,Night,297,Business call,40,2024-03-28,False,Following up on your inquiry.
6431694889,Not Spam,Business,0,0,Kolkata,Evening,598,Important call,35,2024-12-13,False,About your recent service request.
7040505521,Not Spam,Service,0,0,Pune,Morning,94,Business call,28,2024-07-06,False,"Hello, calling to confirm your appointment."
7222342463,Not Spam,None,0,0,Pune,Morning,328,Expected call,29,2024-08-09,False,Your requested callback about the service issue.
8550413243,Spam,Scammer,4,1,Unknown,Night,526,Telemarketing spam,62,2024-04-06,False,You've won a prize in our lucky draw!
7013727155,Not Spam,Personal,0,0,Jaipur,Night,1066,Expected call,30,2025-01-22,False,Following up on your inquiry.
6342810205,Spam,Unknown,5,0,Bangalore,Morning,580,Annoying call,63,2024-04-30,False,We're calling about your account.
8965247912,Not Spam,Service,0,1,Unknown,Afternoon,63,Genuine call,37,2024-07-25,False,Calling from your doctor's office.
9894278707,Not Spam,None,0,0,Chennai,Morning,459,Business call,14,2025-01-10,False,Calling from your doctor's office.
7734253887,Not Spam,Business,0,2,Ahmedabad,Afternoon,502,Important call,12,2024-12-07,True,Calling from your doctor's office.
9813512919,Not Spam,None,0,1,Ahmedabad,Night,66,Normal call,28,2024-07-19,False,This is your delivery service.
6404306856,Not Spam,Personal,0,0,Pune,Night,335,OK,34,2024-12-18,False,"Hi, this is regarding your job application."
6157177885,Not Spam,Business,0,0,Unknown,Night,314,Normal call,19,2024-10-03,False,Following up on your inquiry.
6852026057,Spam,Survey,3,2,Unknown,Afternoon,425,Telemarketing spam,58,2025-01-18,False,We're gathering customer feedback.
8644199830,Not Spam,Service,0,0,Mumbai,Evening,478,Genuine call,30,2024-02-11,True,About your recent service request.
6125005959,Not Spam,Business,0,0,Unknown,Night,196,Expected call,28,2024-08-15,False,"Hello, calling to confirm your appointment."
8435170277,Spam,Unknown,2,3,Delhi,Evening,600,Not sure,68,2024-04-12,False,Are you interested in saving money on your utility bills?
9038242162,Not Spam,Personal,0,0,Bangalore,Afternoon,330,Normal call,37,2024-11-15,True,This is a follow-up call.
9653414237,Spam,Survey,21,4,Unknown,Evening,105,Possible spam,74,2024-06-02,True,Would you like to participate in a quick survey?
8428413427,Spam,Scammer,11,1,Pune,Evening,186,Not sure,77,2024-04-12,True,This is regarding your car's extended warranty.
8815870743,Not Spam,Personal,0,0,Hyderabad,Night,474,Helpful service,35,2024-12-19,False,This is about your recent purchase.
6983295197,Not Spam,Personal,0,0,Pune,Evening,110,Important call,24,2024-10-12,True,Following up on your inquiry.
9324520853,Spam,Survey,1,0,Jaipur,Afternoon,330,Suspicious call,73,2024-11-01,False,Calling regarding your recent inquiry.
7244680805,Spam,Telemarketer,0,2,Jaipur,Morning,509,Scam alert,80,2024-07-14,False,We have an exclusive offer for you today.
9245383225,Not Spam,Personal,0,0,Bangalore,Afternoon,499,Normal call,24,2024-04-25,False,"Hi, this is regarding your job application."
7931084875,Not Spam,None,0,0,Unknown,Afternoon,50,Important call,31,2024-03-15,False,This is your delivery service.
8249381435,Not Spam,Service,0,1,Hyderabad,Evening,450,Genuine call,16,2024-02-05,False,This is your delivery service.
8091513605,Not Spam,Business,0,1,Unknown,Morning,381,Genuine call,12,2024-05-17,False,We're calling about your account.
8800209383,Not Spam,None,0,0,Chennai,Morning,165,OK,41,2024-10-02,False,Following up on your inquiry.
